country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"DTU, Delhi - CPCB",20-03-2026 16:00,28.7500499,77.1112615,NO2,47,68,59
India,Delhi,Delhi,"DTU, Delhi - CPCB",20-03-2026 16:00,28.7500499,77.1112615,NH3,4,9,7
India,Delhi,Delhi,"DTU, Delhi - CPCB",20-03-2026 16:00,28.7500499,77.1112615,CO,6,20,11
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",20-03-2026 16:00,28.498571,77.26484,NH3,9,11,10
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",20-03-2026 16:00,28.498571,77.26484,CO,59,82,69
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",20-03-2026 16:00,28.498571,77.26484,OZONE,3,69,32
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",20-03-2026 16:00,28.493624,77.201159,CO,114,116,115
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",20-03-2026 16:00,28.6811736,77.3025234,PM2.5,17,313,115
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-03-2026 16:00,26.2271665,84.3570427,SO2,8,9,8
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-03-2026 16:00,26.2271665,84.3570427,CO,44,124,51
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-03-2026 16:00,26.2271665,84.3570427,OZONE,14,15,14
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",20-03-2026 16:00,30.735567,76.775714,OZONE,7,33,24
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",20-03-2026 16:00,21.194815,81.31477,PM2.5,18,37,27
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",20-03-2026 16:00,21.194815,81.31477,NH3,1,1,1
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",20-03-2026 16:00,21.194815,81.31477,OZONE,4,20,14
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",20-03-2026 16:00,21.185571,81.343175,OZONE,8,17,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",20-03-2026 16:00,21.224231,81.40835,NO2,22,86,45
India,Delhi,Delhi,"Bawana, Delhi - DPCC",20-03-2026 16:00,28.7762,77.051074,PM10,57,181,104
India,Delhi,Delhi,"Bawana, Delhi - DPCC",20-03-2026 16:00,28.7762,77.051074,NO2,7,22,14
India,Delhi,Delhi,"Bawana, Delhi - DPCC",20-03-2026 16:00,28.7762,77.051074,CO,28,46,34
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",20-03-2026 16:00,28.7256504,77.2011573,PM2.5,5,161,61
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",20-03-2026 16:00,28.7256504,77.2011573,PM10,23,122,64
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",20-03-2026 16:00,28.7256504,77.2011573,OZONE,10,478,173
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",20-03-2026 16:00,28.5512005,77.2735737,PM10,20,139,76
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",20-03-2026 16:00,28.594169,77.1251,PM10,17,107,64
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",20-03-2026 16:00,28.594169,77.1251,NO2,30,228,109
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-03-2026 16:00,21.219665,81.630094,SO2,3,12,4
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-03-2026 16:00,21.237755,81.705301,PM10,21,58,39
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-03-2026 16:00,21.237755,81.705301,NO2,13,25,18
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-03-2026 16:00,21.237755,81.705301,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-03-2026 16:00,21.237755,81.705301,CO,16,39,20
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",20-03-2026 16:00,21.371751,81.664929,PM10,15,109,61
India,Delhi,Delhi,"Alipur, Delhi - DPCC",20-03-2026 16:00,28.815329,77.15301,NH3,13,16,14
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",20-03-2026 16:00,28.647622,77.315809,PM2.5,23,287,134
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",20-03-2026 16:00,28.647622,77.315809,CO,56,102,87
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",20-03-2026 16:00,28.647622,77.315809,OZONE,8,71,12
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",20-03-2026 16:00,28.695381,77.181665,PM2.5,32,302,86
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",20-03-2026 16:00,21.371751,81.664929,CO,10,10,10
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",20-03-2026 16:00,21.371751,81.664929,OZONE,4,34,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",20-03-2026 16:00,22.06631475,83.33820077,NO2,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",20-03-2026 16:00,22.06631475,83.33820077,OZONE,5,88,42
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",20-03-2026 16:00,22.118125,83.140608,NO2,10,27,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",20-03-2026 16:00,22.118125,83.140608,OZONE,81,81,81
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",20-03-2026 16:00,22.368195,82.746431,CO,14,72,26
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",20-03-2026 16:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-03-2026 16:00,26.2271665,84.3570427,NO2,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",20-03-2026 16:00,22.12665,83.483212,NH3,2,2,2
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",20-03-2026 16:00,28.56789,77.250515,CO,52,105,100
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",20-03-2026 16:00,28.56789,77.250515,OZONE,2,65,31
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",20-03-2026 16:00,28.6573814,77.1585447,PM2.5,1,267,57
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",20-03-2026 16:00,28.6573814,77.1585447,CO,66,90,73
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",20-03-2026 16:00,28.530785,77.271255,PM2.5,40,223,77
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",20-03-2026 16:00,28.530785,77.271255,NO2,41,84,61
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",20-03-2026 16:00,28.623763,77.287209,NH3,8,16,10
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",20-03-2026 16:00,28.623763,77.287209,CO,72,88,77
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",20-03-2026 16:00,28.674045,77.131023,SO2,43,55,48
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",20-03-2026 16:00,28.674045,77.131023,OZONE,5,44,26
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",20-03-2026 16:00,22.977134,72.553024,SO2,1,100,31
